Id,K,D,K/D,FK,FD,FK/D,W,L,W/L,Beds Broken
1,1602,3425,0.47,1798,182,9.88,1096,142,7.72,782
2,4184,9191,0.46,5152,503,10.24,3042,378,8.05,2671
3,6567,8965,0.73,11971,320,37.41,3581,260,13.77,4810
4,1915,3606,0.53,3451,265,13.02,1472,188,7.83,1521
5,2871,5537,0.52,3564,574,6.21,2199,503,4.37,1309
6,7490,10035,0.75,6140,583,10.53,2125,594,3.58,2462
7,2037,3716,0.55,4719,202,23.36,1246,176,7.08,2071
8,3032,7985,0.38,4067,798,5.10,1810,757,2.39,3110
9,2407,3767,0.64,4389,171,25.67,1721,159,10.82,1958
10,1818,2596,0.70,2991,106,28.22,1055,108,9.77,1231
11,912,840,1.09,1150,53,21.70,417,46,9.07,489
12,2640,5171,0.51,7053,251,28.10,2646,211,12.54,3051
13,503,446,1.13,618,41,15.07,157,37,4.24,278
14,15309,24805,0.62,22181,989,22.43,9065,871,10.41,8900
15,4160,10320,0.40,6309,843,7.48,2376,825,2.88,3296
16,25318,42326,0.60,24133,2299,10.50,10558,2028,5.21,9714
17,435,647,0.67,690,37,18.65,250,32,7.81,286
18,1991,4254,0.47,2801,207,13.53,1327,214,6.20,1129
19,9941,15594,0.64,12917,908,14.23,5761,840,6.86,6153
20,5591,8769,0.64,5288,590,8.96,2009,642,3.13,2702
21,13643,22155,0.62,18960,2453,7.73,7238,2339,3.09,8489
22,5455,10858,0.50,7601,557,13.65,3518,487,7.22,3799
23,6003,8843,0.68,7290,1064,6.85,2390,1424,1.68,3194
24,5907,10644,0.55,7348,554,13.26,3704,485,7.64,3136
25,3686,4525,0.81,3791,242,15.67,1309,223,5.87,1395
26,6613,9630,0.69,8157,713,11.44,2815,662,4.25,3411
27,13654,15073,0.91,18474,827,22.34,6386,877,7.28,7266
28,765,1057,0.72,1242,38,32.68,434,37,11.73,524
29,1881,2301,0.82,1251,205,6.10,429,197,2.18,565
30,12923,21407,0.60,17573,803,21.88,5981,676,8.85,7899
31,2549,3863,0.66,3145,310,10.15,1070,279,3.84,1411
32,1095,1627,0.67,2086,59,35.36,656,53,12.38,829
33,14896,21971,0.68,17620,821,21.46,6674,731,9.13,6880
34,3618,3332,1.09,5623,363,15.49,1685,323,5.22,2192
35,5406,8492,0.64,5812,748,7.77,2129,822,2.59,2479
36,2459,4747,0.52,3014,202,14.92,1264,186,6.80,1320
37,1426,1787,0.80,2776,130,21.35,799,151,5.29,1196
38,8256,11654,0.71,3876,1457,2.66,3529,1357,2.60,1338
39,1582,2540,0.62,2712,76,35.68,1025,60,17.08,1042
40,3753,7416,0.51,5419,279,19.42,2218,229,9.69,2451
41,1193,2068,0.58,1846,130,14.2,867,120,7.23,735
42,5033,4792,1.05,5364,216,24.83,1579,257,6.14,1961
43,4761,9200,0.52,6275,551,11.39,3757,460,8.17,3417
44,5095,11719,0.43,8376,809,10.35,3498,683,5.12,3126
45,3968,5409,0.73,4888,460,10.63,1681,436,3.86,2134
46,6153,9122,0.67,6521,457,14.27,2848,393,7.25,2874
47,3749,7279,0.52,5559,384,14.48,2237,357,6.27,2225
48,2717,4996,0.54,4545,230,19.76,2077,269,7.72,2009
49,9502,12879,0.74,15552,143,108.76,5148,85,60.56,5708
50,1565,3547,0.44,1235,533,2.32,689,561,1.23,704
51,4125,6118,0.67,4939,475,10.40,1709,460,3.72,2174
52,5080,9333,0.54,6460,433,14.92,2326,458,5.08,2970
53,11945,11640,1.03,4965,1812,2.74,2359,1944,1.21,2620
54,8982,22394,0.40,16237,1970,8.24,7550,1623,4.65,9455
55,3055,5204,0.59,5645,316,17.86,1913,308,6.21,2186
56,8365,18301,0.46,11984,1455,8.24,5352,1327,4.03,6806
57,5036,4833,1.04,6148,292,21.05,2074,265,7.83,2706
58,6427,8823,0.73,6190,670,9.24,2404,633,3.80,3043
59,17043,22658,0.75,28544,1472,19.39,8083,1264,6.39,11941
60,2061,3595,0.57,2859,142,20.13,1017,119,8.55,1115
61,3588,9869,0.36,4011,419,9.57,2546,397,6.41,2044
62,2944,6012,0.49,3869,322,12.02,1704,311,5.48,2038
63,2157,2976,0.72,2133,179,11.92,733,229,3.20,766
64,6936,6582,1.05,8784,304,28.89,2644,240,11.02,3064
65,5593,6317,0.89,6611,277,23.87,2528,238,10.62,2642
66,1675,3055,0.55,4061,151,26.89,1456,155,9.39,1840
67,8467,12538,0.68,7287,660,11.04,3240,584,5.55,3044
68,5612,7059,0.80,8168,795,10.27,2998,689,4.35,3715
69,2879,6050,0.48,3170,365,8.68,1453,343,4.24,1528
70,3774,4791,0.79,3229,384,8.41,1186,362,3.28,1441
71,12741,20061,0.64,7275,1348,5.40,3523,1335,2.64,2837
72,1328,2399,0.55,2410,71,33.94,941,58,16.22,928
73,6126,8363,0.73,6763,800,8.45,2336,866,2.70,2822
74,3301,4123,0.80,2777,331,8.39,1057,294,3.60,1109
75,853,3139,0.27,1365,187,7.30,1077,140,7.69,651
76,7016,8721,0.80,7420,552,13.44,2644,476,5.55,3032
77,4477,6533,0.69,4783,290,16.49,1495,305,4.90,2218
78,885,2000,0.44,970,174,5.57,551,248,2.22,404
79,2494,5429,0.46,3090,249,12.41,1647,211,7.81,1581
80,2389,3686,0.65,4264,19,224.42,1527,13,117.46,1661
81,1529,2140,0.71,1780,103,17.28,795,91,8.74,860
82,1031,1654,0.62,1209,159,7.60,563,151,3.73,548
83,786,1597,0.49,1182,143,8.27,525,153,3.43,661
84,6572,8880,0.74,10809,332,32.56,3548,290,12.23,3694
85,16990,25594,0.66,23009,2648,8.69,7954,2572,3.09,9047
86,5171,9611,0.54,9585,801,11.97,4609,706,6.53,4005
87,6465,4481,1.44,5072,225,22.54,1484,202,7.35,2014
88,4928,8703,0.57,5000,890,5.62,2396,770,3.11,2834
89,1656,1827,0.91,1493,136,10.98,456,146,3.12,611
90,2469,4471,0.55,2221,408,5.44,922,411,2.24,1085
91,5714,9725,0.59,7691,696,11.05,3014,668,4.51,3781
92,1757,6495,0.27,3018,704,4.29,1647,601,2.74,1732
93,10740,13036,0.82,11312,1335,8.47,3067,1236,2.48,5173
94,776,1356,0.57,1235,106,11.65,370,94,3.94,423
95,11444,11564,0.99,10206,963,10.60,3048,926,3.29,4057
96,1695,2398,0.71,2598,186,13.97,960,162,5.93,1100
97,7071,14531,0.49,11080,869,12.75,4429,721,6.14,5213
98,4449,6674,0.67,4289,510,8.41,1443,477,3.03,2191
99,8092,13796,0.59,6433,1801,3.57,2351,1872,1.26,2966
100,3974,6395,0.62,4062,381,10.66,1590,358,4.44,1637
101,3864,5209,0.74,2585,491,5.26,1241,522,2.38,1220
102,774,1313,0.59,1562,71,22,521,67,7.78,681
103,12206,17947,0.68,16640,1394,11.94,5178,1469,3.52,7062
104,6034,9020,0.67,5365,678,7.91,2297,621,3.70,2498
105,5660,5721,0.99,7178,141,50.91,2453,146,16.80,2782
106,1746,2887,0.60,628,628,1,496,627,0.79,157
107,2186,4523,0.48,3079,349,8.82,1186,349,3.40,1205
108,3583,5270,0.68,2774,328,8.46,950,320,2.97,1152
109,6467,11085,0.58,5543,1051,5.27,2770,1018,2.72,2859
110,5541,6547,0.85,5854,604,9.69,2028,589,3.44,2879
111,1207,1758,0.69,1982,189,10.49,669,163,4.10,851
112,4314,7344,0.59,7675,415,18.49,2243,387,5.80,3306
113,7999,8213,0.97,8359,737,11.34,2646,627,4.22,3550
114,11450,31439,0.36,13468,2838,4.75,7024,2515,2.79,6883
115,2902,2022,1.44,2625,167,15.72,885,150,5.9,891
116,769,1330,0.58,1310,52,25.19,523,44,11.89,581
117,7405,13032,0.57,6600,632,10.44,2822,659,4.28,3524
118,814,1288,0.63,927,109,8.50,401,110,3.65,439
119,7042,7170,0.98,5181,473,10.95,1526,524,2.91,2113
120,1468,3348,0.44,786,423,1.86,653,383,1.70,281
121,9543,14962,0.64,12106,449,26.96,4228,418,10.11,4937
122,1258,2480,0.51,1583,312,5.07,618,334,1.85,802
123,3009,4864,0.62,4310,266,16.20,1613,260,6.20,1919
124,4782,7120,0.67,4337,521,8.32,1577,511,3.09,2081
125,3119,5979,0.52,4220,289,14.60,1636,277,5.91,2099
126,1565,2126,0.74,1393,113,12.33,541,104,5.20,612
127,3649,6163,0.59,2801,224,12.50,1232,206,5.98,1153
128,1209,2131,0.57,2657,84,31.63,884,81,10.91,977
129,3440,5487,0.63,3035,439,6.91,1753,375,4.67,1535
130,2289,3387,0.68,1713,294,5.83,630,296,2.13,804
